,title,awards.wins,imdb.rating,id
6916,Jason's Lyric,0,6.6,6704
6917,Kabhi Haan Kabhi Naa,2,8.3,6705
6918,Bloody Weekend,1,4.6,6706
6919,The Madness of King George,16,7.3,6707
6920,Maverick,2,7.0,6708
6921,The Mask,7,6.8,6709
6922,Mute Witness,3,6.8,6710
6923,The Next Karate Kid,1,4.2,6711
6924,Oblivion,1,5.2,6712
6925,Priest,4,7.2,6713
6926,Reality Bites,1,6.6,6714
6927,The River Wild,0,6.3,6715
6928,Sister My Sister,5,7.0,6716
6929,Star Trek: Generations,2,6.6,6717
6930,The Swan Princess,2,6.4,6718
6931,That's Entertainment! III,0,7.6,6719
6932,Heavenly Creatures,18,7.5,6720
6933,Lassie,1,5.8,6721
6934,Lèon: The Professional,3,8.6,6722
6935,Major League II,1,5.4,6723
6936,Metal Skin,4,6.2,6724
6937,My Girl 2,1,5.1,6725
6938,Nina Takes a Lover,0,5.7,6726
6939,Les patriotes,0,7.4,6727
6940,Sicario,9,6.5,6728
6941,Spanking the Monkey,4,6.3,6729
6942,The Specialist,4,5.4,6730
6943,The Ride,4,7.4,6731
6944,Paperback Romance,0,6.3,6732
6945,Maya Lin: A Strong Clear Vision,0,7.3,6733
6946,North,3,4.4,6734
6947,Rapa Nui,1,6.4,6735
6948,Queen Margot,10,7.5,6736
6949,Highlander: The Final Dimension,0,4.3,6737
6950,Hum Aapke Hain Koun...!,6,7.7,6738
6951,I Like It Like That,1,6.7,6739
6952,Mohra,0,6.9,6740
6953,Pulp Fiction,64,8.9,6741
6954,River of Grass,0,6.1,6742
6955,The Santa Clause,2,6.3,6743
6956,Serial Mom,0,6.7,6744
6957,Somebody to Love,0,5.2,6745
6958,The Sum of Us,6,7.4,6746
6959,Szèl,4,7.4,6747
6960,Guantanamera,7,6.9,6748
6961,Immortal Beloved,0,7.5,6749
6962,Little Big League,0,6.0,6750
6964,The Low Life,1,6.1,6751
6965,The Monster,1,7.5,6752
6966,Oleanna,0,6.7,6753
6967,Before the Rain,20,8.1,6754
6968,Texas Chainsaw Massacre: The Next Generation,0,3.1,6755
6969,Sharpe's Honour,0,7.8,6756
6970,Speed,16,7.2,6757
6971,Stargate,6,7.0,6758
6972,Sven's Secret,2,5.9,6759
6973,Ladybird Ladybird,7,7.6,6760
6974,Nightwatch,10,7.4,6761
6975,No Escape,0,6.0,6762
6976,Wild Reeds,9,7.5,6763
6977,The Shawshank Redemption,23,9.3,6764
6978,Sleep with Me,0,5.7,6765
6979,Nobody Loves Me,3,7.4,6766
6980,Lamerica,23,7.6,6767
6982,My Father the Hero,0,5.4,6768
6983,Perdiamoci di vista,3,6.3,6769
6984,The Road to Wellville,0,5.7,6770
6985,The Shadow,0,6.0,6771
6986,Kaspar Hauser,7,6.9,6772
6987,The Last Seduction,12,7.2,6773
6988,Mina Tannenbaum,2,7.3,6774
6989,Milk Money,0,5.4,6775
6990,Nell,6,6.5,6776
6991,Muriel's Wedding,9,7.2,6777
6992,Of Love and Shadows,1,5.1,6778
6993,Once Were Warriors,21,8.0,6779
6994,Take Care of Your Scarf Tatiana,2,7.3,6780
6995,Ready to Wear,5,5.0,6781
6996,Quiz Show,17,7.5,6782
6997,Rièhie Rièh,0,5.2,6783
6998,Roswell,0,6.3,6784
6999,S.F.W.,0,5.9,6785
7000,Vanya on 42nd Street,8,7.4,6786
7001,TekWar,0,6.0,6787
7002,The Legend of Drunken Master,3,7.6,6788
7003,When a Man Loves a Woman,0,6.5,6789
7004,True Lies,8,7.2,6790
7005,Heavy Weather,0,7.2,6791
7006,Eat Drink Man Woman,7,7.8,6792
7007,Angela,4,6.5,6793
7008,On Earth as It Is in Heaven,2,6.6,6794
7009,Beyond Rangoon,2,6.6,6795
7010,Bandwagon,2,7.1,6796
7011,Happiness Is in the Field,1,7.0,6797
7012,Brothers in Trouble,2,6.6,6798
7013,One Hundred and One Nights,0,6.1,6799
7014,Dead Weekend,0,3.0,6800
7015,Four Rooms,1,6.7,6801
7016,Three Colors: Red,23,8.1,6802
7018,The Sex Life of the Belgians,0,5.9,6803
7019,Thumbelina,1,6.3,6804
7020,Tigrero: A Film That Was Never Made,1,6.8,6805
7021,Wolf,2,6.2,6806
7023,Ace Ventura: When Nature Calls,7,6.3,6807
7024,Guardian Angels,1,5.7,6808
7025,Midaq Alley,27,7.6,6809
7026,Clockers,1,6.9,6810
7027,Crying Freeman,1,6.5,6811
7028,Devil in a Blue Dress,5,6.7,6812
7029,Desperado,0,7.2,6813
7030,Fallen Angels,8,7.7,6814
7031,Far from Home: The Adventures of Yellow Dog,0,6.4,6815
7032,Funny Bones,8,6.9,6816
7033,Streets of Laredo,6,7.4,6817
7034,Between the Devil and the Deep Blue Sea,2,7.2,6818
7035,Mouth to Mouth,7,6.6,6819
7036,Bye Bye Love,0,6.1,6820
7037,Copycat,2,6.6,6821
7038,Crimson Tide,8,7.3,6822
7039,Cyclo,4,7.4,6823
7040,The Englishman Who Went Up a Hill But Came Down a Mountain,1,6.6,6824
7041,Batman Forever,13,5.4,6825
7042,What Happened Was...,3,7.1,6826
7043,The American President,2,6.8,6827
7044,The Bridges of Madison County,9,7.5,6828
7045,Circle of Friends,1,6.6,6829
7046,The Convent,1,5.8,6830
7047,Dead Presidents,0,6.8,6831
7048,Eggs,5,6.9,6832
7049,Falling for You,0,5.1,6833
7050,Il toro,5,6.7,6834
7051,Das Versprechen,4,6.9,6835
7052,Fresh Bait,3,6.9,6836
7053,Assassins,1,6.3,6837
7054,Atolladero,1,5.2,6838
7055,Barsaat,1,5.3,6839
7056,Braveheart,32,8.4,6840
7057,Forget Paris,1,6.4,6841
7058,A Single Girl,0,7.3,6842
7059,The Addiction,5,6.4,6843
7060,An Awfully Big Adventure,0,6.0,6844
7061,Balto,0,7.0,6845
7062,Congo,2,5.0,6846
7063,The Blade,1,7.2,6847
7064,Adèo e Eva,4,5.9,6848
7065,The Amazing Panda Adventure,0,5.8,6849
7066,Before Sunrise,1,8.1,6850
7067,Bert: The Last Virgin,1,5.8,6851
7068,Billy's Holiday,2,4.6,6852
7069,Sex & the Other Man,2,4.5,6853
7070,Citizen X,10,7.7,6854
7072,Dilwale Dulhania Le Jayenge,12,8.3,6855
7073,Don Juan DeMarco,5,6.8,6856
7074,Fair Game,0,4.1,6857
7075,Filmpje!,2,5.4,6858
7076,Undo,2,6.8,6859
7077,Without Warning,0,7.1,6860
7079,Daisy-Head Mayzie,2,6.8,6861
7080,Tom and Huck,1,5.6,6862
7081,The Baby-Sitters Club,2,5.6,6863
7082,Billy Madison,0,6.4,6864
7083,The Brady Bunch Movie,0,5.9,6865
7084,Butterfly Kiss,0,6.4,6866
7085,The Celluloid Closet,11,7.7,6867
7086,The Crossing Guard,0,6.4,6868
7087,The Cure,2,7.7,6869
7089,Through the Olive Trees,7,7.8,6870
7090,Angel Baby,12,7.2,6871
7091,Babe,20,6.8,6872
7092,The Brothers McMullen,4,6.6,6873
7093,Bye-Bye,2,7.1,6874
7094,Coldblooded,1,6.8,6875
7095,Dead Man,6,7.7,6876
7096,Blood & Donuts,0,6.0,6877
7097,Blue in the Face,0,6.7,6878
7098,Boys on the Side,1,6.3,6879
7099,Carrington,9,6.8,6880
7100,Clueless,8,6.8,6881
7101,Cold Comfort Farm,2,7.3,6882
7102,Curtis's Charm,2,5.0,6883
7103,Die Hard: With a Vengeance,2,7.6,6884
7104,Dos crèmenes,5,7.2,6885
7105,The Doom Generation,0,5.9,6886
7106,The Day of the Beast,15,7.5,6887
7107,Fluke,0,6.7,6888
7108,An Unforgettable Summer,0,7.4,6889
7110,Angels and Insects,3,7.0,6890
7111,Angus,0,6.7,6891
7112,Annie: A Royal Adventure!,0,5.1,6892
7113,Anne Frank Remembered,10,8.0,6893
7114,Apollo 13,34,7.6,6894
7115,A Boy Called Hate,2,4.9,6895
7116,Dr. Jekyll and Ms. Hyde,0,4.3,6896
7117,èlisa,1,6.7,6897
7118,Fall Time,0,5.5,6898
7119,Frank and Ollie,1,7.9,6899
7120,War of the Buttons,0,7.5,6900
7121,Wyatt Earp,4,6.6,6901
7122,3 Ninjas Knuckle Up,0,4.0,6902
7123,Black Day Blue Night,1,5.9,6903
7124,A Close Shave,19,8.3,6904
7125,La cèrèmonie,9,7.7,6905
7126,Free Willy 2: The Adventure Home,1,4.8,6906
7127,Timecop,1,5.8,6907
7128,Three Colors: White,1,7.7,6908
7129,Tom & Viv,5,6.6,6909
7130,Burnt by the Sun,4,8.0,6910
7131,The Langoliers,0,6.1,6911
7132,Wild Horses,5,7.3,6912
7133,Casper,4,6.0,6913
7134,Casino,5,8.2,6914
7135,God's Comedy,2,7.6,6915
7136,Dangerous Minds,5,6.4,6916
7137,Denise Calls Up,5,6.9,6917
7138,Diebinnen,1,5.6,6918
7139,The Flower of My Secret,4,7.1,6919
7141,The War,1,6.7,6920
7142,New Nightmare,1,6.4,6921
7143,Yrrol - En kolossalt genomtènkt film,2,6.7,6922
7144,Zamok,2,6.8,6923
7145,L'allèe du roi,2,7.9,6924
7147,Cutthroat Island,0,5.6,6925
7148,Dead Man Walking,24,7.6,6926
7149,En pè miljonen,0,5.2,6927
7150,Looking for Paradise,0,5.6,6928
7151,Friday,0,7.3,6929
7152,Widows' Peak,2,6.8,6930
7153,Wrony,5,7.2,6931
7154,Antonia's Line,7,7.5,6932
7155,With Honors,0,6.7,6933
7156,The Defender,0,6.4,6934
7157,The White Balloon,5,7.7,6935
7159,The Christmas Box,2,7.2,6936
7160,The City of Lost Children,2,7.7,6937
7161,Empire Records,1,6.7,6938
7162,En avoir (ou pas),4,6.8,6939
7163,Father of the Bride Part II,2,5.9,6940
7164,Flamenco,0,7.4,6941
7165,Gospa,1,5.2,6942
7166,From the Journals of Jean Seberg,2,7.0,6943
7167,French Kiss,0,6.5,6944
7168,A Goofy Movie,0,6.8,6945
7169,Go Now,4,7.3,6946
7170,Gagarin,6,7.0,6947
7171,Jefferson in Paris,0,5.7,6948
7172,Georgia,7,6.3,6949
7173,GoldenEye,4,7.2,6950
7174,It Takes Two,1,5.7,6951
7175,Memories,1,7.6,6952
7176,The Net,1,5.8,6953
7177,New Jersey Drive,0,6.6,6954
7178,Plutonium Circus,3,6.3,6955
7179,Prowokator,2,6.3,6956
7180,Get Shorty,7,6.9,6957
7181,Die Gebrèder Skladanowsky,1,6.8,6958
7182,The Good Old Boys,3,6.7,6959
7183,I Shot a Man in Vegas,0,4.1,6960
7184,Institute Benjamenta or This Dream That One Calls Human Life,4,7.3,6961
7185,Favorite Deadly Sins,1,5.2,6962
7186,Jade,0,5.1,6963
7187,The Enforcer,0,6.6,6964
7188,Jènssonligans stèrsta kupp,0,4.8,6965
7189,Miami Rhapsody,0,5.3,6966
7190,Mighty Morphin Power Rangers: The Movie,0,5.0,6967
7191,Nelly & Monsieur Arnaud,7,7.4,6968
7192,Pan,3,5.5,6969
7193,Prerokbe Ognja,1,9.0,6970
7194,O Quatrilho,5,6.9,6971
7195,Grajacy z talerza,2,7.2,6972
7196,Helicopter String Quartet,0,6.5,6973
7197,Home for the Holidays,0,6.6,6974
7198,The Horseman on the Roof,4,7.1,6975
7199,Karan Arjun,0,6.9,6976
7201,Madame Butterfly,1,6.9,6977
7202,Over My Dead Body,9,7.1,6978
7205,Homage,0,5.8,6979
7206,Safe,9,7.1,6980
7207,Jumanji,4,6.8,6981
7208,Kamikaze Taxi,3,7.6,6982
7209,Born to Be Wild,1,4.9,6983
7210,Kristin Lavransdatter,1,4.6,6984
7211,Bullet to Beijing,0,5.6,6985
7212,Lord of Illusions,2,6.0,6986
7213,Nadie hablarè de nosotras cuando hayamos muerto,27,7.3,6987
7214,Paris Was a Woman,1,7.6,6988
7215,The Grass Harp,3,7.2,6989
7216,The Legend of Galgameth,0,6.1,6990
7217,The Five,0,6.9,6991
7218,Good Men Good Women,11,7.2,6992
7219,Hideaway,0,5.3,6993
7220,Hollow Reed,1,7.4,6994
7221,A Kid in King Arthur's Court,0,4.7,6995
7222,Kids of the Round Table,1,5.0,6996
7223,The Keeper,0,6.0,6997
7224,Ghost in the Shell,5,8.0,6998
7225,Last Summer in the Hamptons,0,6.1,6999
7226,Loch Ness,1,5.3,7000
7227,Losing Isaiah,0,6.6,7001
7228,Magic in the Water,2,5.8,7002
7229,Murder in the First,2,7.3,7003
7230,One Survivor Remembers,7,7.8,7004
7231,Passeio com Johnny Guitar,0,6.1,7005
7232,The Pebble and the Penguin,0,5.6,7006
7233,Thunderbolt,1,6.3,7007
7234,Prime Suspect: Inner Circles,1,7.8,7008
7235,Godzilla vs. Destoroyah,0,6.9,7009
7236,Gold Diggers: The Secret of Bear Mountain,1,5.9,7010
7237,Up Down Fragile,0,7.4,7011
7238,In the Mouth of Madness,1,7.2,7012
7239,Indictment: The McMartin Trial,8,7.8,7013
7240,Kivenpyèrittèjèn kylè,4,6.6,7014
7241,Love Letter,14,8.0,7015
7242,Mr. Holland's Opus,6,7.3,7016
7243,Money Train,0,5.5,7017
7244,The Neon Bible,0,6.1,7018
7245,Nixon,17,7.1,7019
7246,Persuasion,7,7.7,7020
7247,Party Girl,0,6.6,7021
7248,The Prophecy,0,6.6,7022
7249,Rob Roy,3,6.9,7023
7250,Heavy,3,7.0,7024
7251,The Incredibly True Adventure of Two Girls in Love,1,6.5,7025
7252,The Mangler,1,3.9,7026
7253,Margaret's Museum,10,7.3,7027
7254,Net Worth,4,7.3,7028
7255,Peculiarities of the National Hunt,4,7.7,7029
7256,Powder,1,6.5,7030
7257,Kids,1,7.0,7031
7258,Leaving Las Vegas,35,7.6,7032
7260,Lipton Cockton in the Shadows of Sodoma,1,5.4,7033
7262,Prime Suspect: The Lost Child,1,8.0,7034
7263,Habit,5,6.5,7035
7264,Halloween: The Curse of Michael Myers,1,4.9,7036
7265,Kicking and Screaming,0,7.1,7037
7266,Lotto Land,1,6.5,7038
7268,Mother Dao the Turtlelike,5,8.1,7039
7269,Don't Die Without Telling Me Where You're Going,5,7.1,7040
7270,Once Upon a Time... When We Were Colored,2,7.2,7041
7271,Beyond the Clouds,3,6.5,7042
7272,The Passion of Darkly Noon,2,5.9,7043
7273,The Pillow Book,5,6.7,7044
7274,Pocahontas,15,6.6,7045
7275,Roommates,0,6.4,7046
7276,French Twist,4,6.4,7047
7277,Grumpier Old Men,2,6.6,7048
7278,The Indian in the Cupboard,1,5.9,7049
7279,Judge Dredd,2,5.4,7050
7280,Killer: A Journal of Murder,2,6.4,7051
7281,The Land Before Time III: The Time of the Great Giving,1,5.5,7052
7282,Little Criminals,8,8.1,7053
7283,Outbreak,7,6.5,7054
7284,Harrison Bergeron,0,7.4,7055
7285,The Haunted World of Edward D. Wood Jr.,1,7.3,7056
7286,It's My Party,0,7.1,7057
7287,How to Make an American Quilt,0,6.2,7058
7288,A Midwinter's Tale,1,7.3,7059
7289,Just Cause,1,6.4,7060
7290,Jeffrey,1,6.7,7061
7291,The Last Supper,1,6.8,7062
7292,Zero Kelvin,3,7.4,7063
7293,All Things Fair,6,7.0,7064
7294,Libertarias,2,7.1,7065
7295,Maborosi,9,7.7,7066
7296,Now and Then,0,6.7,7067
7297,Man of the House,0,4.9,7068
7298,Parallel Sons,3,6.4,7069
7299,My Family,4,7.3,7070
7300,Picture Bride,2,6.8,7071
7301,Nico Icon,4,7.2,7072
7302,Rendezvous in Paris,0,7.6,7073
7303,Nothing Personal,2,6.8,7074
7304,Panther,2,6.3,7075
7305,La Haine,8,8.1,7076
7306,Gordy,1,3.9,7077
7307,Rumble in the Bronx,2,6.7,7078
7308,Haunted,1,6.3,7079
7309,Heidi Fleiss: Hollywood Madam,0,6.6,7080
7310,Higher Learning,1,6.4,7081
7311,Hoogste tijd,1,7.0,7082
7312,Jury Duty,1,4.0,7083
7313,Mosquito,0,4.3,7084
7314,Nine Months,0,5.4,7085
7315,Johnny Mnemonic,2,5.5,7086
7316,Lilian's Story,1,6.9,7087
7317,Mortal Kombat,1,5.8,7088
7318,Who Killed Pasolini?,3,6.9,7089
7319,Paul Bowles - Halbmond,2,7.0,7090
7320,Restoration,0,6.7,7091
7321,Rent-a-Kid,1,5.4,7092
7322,Rough Magic,2,5.5,7093
7323,Living in Oblivion,7,7.6,7094
7324,Madagascar Skin,1,6.4,7095
7325,Mighty Aphrodite,14,7.1,7096
7326,The Piano Lesson,5,7.1,7097
7328,Rangeela,2,7.6,7098
7329,Stuart Saves His Family,0,5.3,7099
7330,Search and Destroy,0,5.2,7100
7331,Meltdown,0,6.1,7101
7332,Sonic Outlaws,1,7.2,7102
7333,Brother of Sleep,7,7.1,7103
7334,Total Eclipse,0,6.5,7104
7335,Tales from the Crypt: Demon Knight,0,6.7,7105
7336,Tromeo and Juliet,1,6.2,7106
7337,Tokyo Fist,2,7.2,7107
7338,Tyson,0,6.4,7108
7339,The Tuskegee Airmen,7,7.3,7109
7340,When Night Is Falling,0,6.8,7110
7341,The Beast,0,5.9,7111
7342,Dead Man's Walk,3,7.3,7112
7343,Airbag,3,6.8,7113
7344,Love Can Seriously Damage Your Health,2,6.8,7114
7345,Bio-Dome,1,4.3,7115
7346,Captain Conan,10,7.3,7116
7347,Charms Zwischenfèlle,1,7.2,7117
7348,Smoke,9,7.5,7118
7349,Stonewall,4,7.2,7119
7350,Three Wishes,0,6.1,7120
7352,To Wong Foo Thanks for Everything Julie Newmar,0,6.3,7121
7353,2 Days in the Valley,0,6.5,7122
7354,Albino Alligator,0,6.1,7123
7355,Basquiat,2,6.9,7124
7356,Black Mask,0,6.0,7125
7357,When the Cat's Away,1,6.9,7126
7358,Chronicle of a Disappearance,5,7.2,7127
7359,Commandments,0,5.6,7128
7360,Talk of the Town,6,6.4,7129
7361,Swimming with Sharks,6,7.1,7130
7362,Se7en,32,8.6,7131
7363,Target,0,8.3,7132
7364,Theodore Rex,1,2.4,7133
7365,Toy Story,26,8.3,7134
7366,Big Bully,2,4.5,7135
7367,Breaking the Waves,48,7.9,7136
7368,A Summer's Tale,0,7.7,7137
7370,Land and Freedom,8,7.6,7138
7371,Foreign Land,6,7.5,7139
7372,Trinity and Beyond: The Atomic Bomb Movie,1,8.0,7140
7373,Unzipped,2,6.4,7141
7375,Ulysses' Gaze,10,7.5,7142
7377,Alien Nation: Millennium,1,6.4,7143
7378,Caught,4,6.8,7144
7379,Screamers,0,6.4,7145
7380,The Tie That Binds,0,5.0,7146
7381,Two Bits,0,6.3,7147
7382,A Summer in La Goulette,0,6.6,7148
7383,De vliegende Hollander,4,7.2,7149
7384,War Stories,1,7.9,7150
7385,A Walk in the Clouds,0,6.6,7151
7386,While You Were Sleeping,4,6.6,7152
7388,The Adventures of Pinocchio,1,5.3,7153
7389,Arcane Sorcerer,2,6.9,7154
7390,The Arrival,1,6.3,7155
7391,Bitter Sugar,1,7.2,7156
7392,La bouche de Jean-Pierre,4,6.8,7157
7393,Breathing Room,0,4.0,7158
7395,Someone Else's America,1,7.1,7159
7396,La scuola,2,6.9,7160
7397,The Usual Suspects,36,8.6,7161
7398,The Wife,0,6.2,7162
7400,According to Pereira,2,7.2,7163
7401,Soul of the Game,0,7.4,7164
7402,Beautiful Thing,4,7.8,7165
7403,Bogus,0,5.3,7166
7404,Synthetic Pleasures,1,6.8,7167
7405,Unstrung Heroes,0,6.7,7168
7407,Waiting to Exhale,8,5.6,7169
7408,The Young Poisoner's Handbook,1,7.1,7170
7409,Andersonville,3,7.5,7171
7410,Bottle Rocket,2,7.1,7172
7411,Box of Moon Light,0,7.3,7173
7412,The Cable Guy,3,6.0,7174
7413,My Sex Life... or How I Got Into an Argument,1,6.9,7175
7414,The Unfish,1,6.4,7176
7415,Things to Do in Denver When You're Dead,2,6.8,7177
7416,Twelve Monkeys,14,8.1,7178
7417,Wild Bill,3,5.9,7179
7418,Beautiful Girls,1,7.2,7180
7419,Broken English,6,6.5,7181
7420,The Purse Snatcher,1,6.4,7182
7421,Xiu Xiu: The Sent-Down Girl,12,7.5,7183
7422,Gulliver's Travels,11,7.0,7184
7423,Carla's Song,4,6.9,7185
7424,The Canterville Ghost,5,6.3,7186
7425,City Hall,0,6.2,7187
7426,Sharpe's Sword,0,8.0,7188
7427,To Die For,8,6.8,7189
7429,Prime Suspect 5: Errors of Judgement,2,8.1,7190
7430,Bound,8,7.4,7191
7431,Bulletproof,0,5.8,7192
7432,Chain Reaction,0,5.5,7193
7433,The Chamber,0,5.9,7194
7434,The Seventh Room,3,7.1,7195
7435,Strange Days,2,7.2,7196
7436,The Underneath,0,6.2,7197
7437,Small Faces,2,7.1,7198
7438,Rude,2,6.1,7199
7439,Tato,5,7.1,7200
7441,Aladdin and the King of Thieves,2,6.3,7201
7442,The Deathmaker,7,7.7,7202
7443,Tremors II: Aftershocks,0,5.9,7203
7444,Ye ban ge sheng,6,7.1,7204
7445,Alien Nation: The Enemy Within,0,6.4,7205
7447,Beavis and Butt-Head Do America,1,6.8,7206
7448,The King of Masks,19,7.6,7207
7449,Breaking the Surface: The Greg Louganis Story,0,6.3,7208
7450,Christmas Every Day,0,6.4,7209
7452,Sense and Sensibility,37,7.7,7210
7453,Shinjuku Boys,2,7.0,7211
7455,Waterworld,6,6.1,7212
7456,Showgirls,10,4.5,7213
7457,Tommy Boy,1,7.0,7214
7458,Big Night,12,7.4,7215
7459,The Tenant of Wildfell Hall,5,7.5,7216
7460,The Cyclone,7,6.8,7217
7461,The West,1,8.4,7218
7463,Alaska,0,5.7,7219
7464,All Dogs Go to Heaven 2,0,5.3,7220
7465,Beaumarchais the Scoundrel,1,6.8,7221
7466,Captive Heart: The James Mink Story,3,7.2,7222
7467,Virtuosity,0,5.5,7223
7468,Erotic Tales: The Waiting Room,4,7.3,7224
7469,Shanghai Triad,6,7.2,7225
7470,August,1,6.0,7226
7471,Barb Wire,1,3.2,7227
7472,Bernie,0,7.3,7228
7473,Carpool,1,4.8,7229
7474,Children of the Revolution,6,6.3,7230
7475,Citizen Ruth,3,7.0,7231
7476,The Scarlet Letter,1,5.1,7232
7477,Something to Talk About,0,5.6,7233
7478,Species,3,5.8,7234
7479,Surprise!,13,7.1,7235
7480,The Three Brothers,1,7.2,7236
7481,Underground,7,8.2,7237
7482,The Star Maker,13,7.3,7238
7483,Welcome to the Dollhouse,4,7.5,7239
7484,Private Confessions,4,7.4,7240
7485,Bastard Out of Carolina,6,7.4,7241
7486,The Birdcage,7,6.9,7242
7487,Blood and Wine,1,6.1,7243
7488,Brassed Off,11,7.1,7244
7489,The Cockroach That Ate Cincinnati,0,6.4,7245
7490,The Craft,1,6.2,7246
7491,Deadly Voyage,2,6.9,7247
7492,Cosas que nunca te dije,8,7.0,7248
7493,Fire,7,7.3,7249
7494,Regular Guys,2,7.0,7250
7495,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,0,6.6,7251
7496,The Crucible,10,6.8,7252
7498,Faithful,0,5.9,7253
7499,Fly Away Home,6,6.8,7254
7500,The Fortunes and Misfortunes of Moll Flanders,1,8.0,7255
7501,Freeway,6,6.9,7256
7502,Girl 6,0,5.0,7257
7503,I Shot Andy Warhol,6,6.6,7258
7504,Mahjong,4,7.5,7259
7505,Escape from L.A.,0,5.6,7260
7507,Hillsborough,6,7.9,7261
7508,Jude,5,7.0,7262
7509,How the War Started on My Island,7,7.9,7263
7510,The Leopard Son,0,7.3,7264
7511,Pretty Village Pretty Flame,6,8.6,7265
7512,Fargo,79,8.2,7266
7513,Everyone Says I Love You,14,6.8,7267
7514,Harriet the Spy,3,5.9,7268
7515,The Long Kiss Goodnight,0,6.7,7269
7516,Love Serenade,2,7.0,7270
7517,The Break,0,5.8,7271
7518,Girls Town,3,6.2,7272
7521,It's in the Water,1,6.2,7273
7522,Beyond Silence,12,7.5,7274
7524,Lilies,8,7.6,7275
7525,Lone Star,18,7.6,7276
7526,Losing Chase,3,6.8,7277
7527,Dating the Enemy,0,6.5,7278
7528,Daylight,2,5.8,7279
7529,Eddie,0,5.0,7280
7530,A Family Thing,3,6.9,7281
7531,Forgotten Silver,2,7.6,7282
7532,From Dusk Till Dawn,4,7.3,7283
7533,Gabbeh,6,7.1,7284
7534,The Ghost and the Darkness,0,6.8,7285
7535,Head Above Water,1,6.0,7286
7536,Idiot Box,0,6.4,7287
7537,In Love and War,0,5.9,7288
7538,Prisoner of the Mountains,12,7.7,7289
7539,The Evening Star,7,5.8,7290
7540,Grace of My Heart,0,6.7,7291
7542,Jack,0,5.7,7292
7543,Jerry Maguire,29,7.3,7293
7544,MURDER and murder,1,7.0,7294
7545,The Man Who Captured Eichmann,3,6.6,7295
7546,Courage Under Fire,10,6.6,7296
7548,Temptress Moon,0,6.9,7297
7549,Female Perversions,1,5.5,7298
7550,For Ever Mozart,0,6.6,7299
7551,The Frighteners,1,7.2,7300
7552,The Grave,1,5.9,7301
7553,Heaven's Prisoners,0,5.7,7302
7554,The Dentist,3,5.1,7303
7555,The Crow: City of Angels,0,4.5,7304
7556,Crash,8,6.4,7305
7558,Drive,1,6.9,7306
7559,Ed,0,2.6,7307
7560,Get on the Bus,2,6.8,7308
7561,Ghosts of Mississippi,6,6.6,7309
7562,Gotti,6,7.3,7310
7563,Hard Core Logo,4,7.4,7311
7564,Homeward Bound II: Lost in San Francisco,0,5.8,7312
7565,Jackie Chan's First Strike,2,6.6,7313
7566,The Empty Mirror,7,6.2,7314
7567,Devil's Island,5,7.3,7315
7568,Different for Girls,3,7.1,7316
7569,Crazy Horse,0,6.2,7317
7570,The Day a Pig Fell Into the Well,3,6.8,7318
7571,Curdled,0,5.9,7319
7572,Dunston Checks In,0,5.2,7320
7573,DragonHeart,4,6.4,7321
7574,Emma,3,6.8,7322
7575,Flirting with Disaster,2,6.8,7323
7576,Alive and Kicking,2,6.8,7324
7578,Jerusalem,2,6.9,7325
7579,Joe's Apartment,2,5.3,7326
7580,The Christmas Party,2,7.1,7327
7581,Kathapurushan,2,7.3,7328
7582,Kids Return,13,7.6,7329
7583,Kissed,7,6.5,7330
7584,Cosi,1,6.8,7331
7585,Eye of God,2,7.5,7332
7586,The God of Cookery,0,7.4,7333
7587,House Arrest,0,5.7,7334
7588,Irma Vep,3,6.9,7335
7589,Jingle All the Way,2,5.4,7336
7590,Kolya,21,7.8,7337
7591,Late Bloomers,3,6.0,7338
7592,Non-Stop,2,7.2,7339
7593,The Daytrippers,7,6.9,7340
7594,Eraser,4,6.0,7341
7595,Kansas City,3,6.3,7342
7596,Kids in the Hall: Brain Candy,0,6.8,7343
7597,Lawnmower Man 2: Beyond Cyberspace,0,2.3,7344
7598,Leila,2,7.7,7345
7599,Love and Other Catastrophes,1,6.4,7346
7600,The First Wives Club,4,6.1,7347
7601,If These Walls Could Talk,5,7.1,7348
7602,Last Dance,0,5.8,7349
7603,The Land Before Time IV: Journey Through the Mists,0,5.6,7350
7604,Lover's Knot,0,4.8,7351
7606,Executive Decision,2,6.4,7352
7607,First Kid,0,5.1,7353
7608,Ghatak: Lethal,2,7.1,7354
7609,Hellraiser: Bloodline,1,5.0,7355
7610,Hype!,1,7.7,7356
7612,Inside,1,6.5,7357
7613,Drifting Clouds,10,7.7,7358
7614,Khamoshi: The Musical,5,7.5,7359
7615,The Late Shift,5,7.0,7360
7616,The Last of the High Kings,1,6.3,7361
7617,Looking for Richard,2,7.4,7362
7618,Lost Highway,1,7.7,7363
7619,Forbidden City Cop,1,7.1,7364
7620,Forest Warrior,0,3.2,7365
7621,Hands on a Hard Body: The Documentary,3,7.7,7366
7622,Happy Gilmore,1,7.0,7367
7624,Johns,1,6.3,7368
7625,The Dress,2,7.0,7369
7627,Familia,12,7.3,7370
7628,Doctor Who,1,6.4,7371
7631,Intimate Relations,2,6.4,7372
7632,The Juror,1,5.5,7373
7633,The Line King: The Al Hirschfeld Story,2,7.2,7374
7634,Little Witches,0,3.5,7375
