,title,awards.wins,imdb.rating,id
333,The Man Who Could Work Miracles,0,7.1,332
334,The Adventures of Robin Hood,5,8.0,333
335,La Bète Humaine,0,7.8,334
336,Gone with the Wind,19,8.2,335
337,Midnight,1,7.9,336
338,Ninotchka,8,8.0,337
339,Stagecoach,6,7.9,338
340,The Well-Digger's Daughter,1,7.3,339
341,Love on the Dole,1,6.9,340
342,'Pimpernel' Smith,1,7.4,341
343,One Hundred Men and a Girl,0,6.9,342
344,Stage Door,7,7.9,343
345,To New Shores,0,6.9,344
346,The Adventures of Tom Sawyer,2,7.2,345
347,Dark Victory,4,7.6,346
348,The Great Dictator,10,8.5,347
349,The Hurricane,0,7.3,348
350,His Girl Friday,1,8.1,349
351,North West Mounted Police,0,6.7,350
352,The Westerner,2,7.5,351
353,Kid Galahad,1,7.4,352
354,Angels with Dirty Faces,4,8.0,353
355,Night Must Fall,4,7.3,354
356,La Grande Illusion,6,8.2,355
357,King Solomon's Mines,0,6.5,356
358,This Is My Affair,0,6.8,357
359,Alexander's Ragtime Band,0,7.1,358
360,The Citadel,7,7.3,359
361,Hotel du Nord,1,7.7,360
362,Pygmalion,3,7.9,361
363,The Long Voyage Home,9,7.1,362
364,The Little Foxes,10,8.2,363
365,They Won't Forget,1,7.4,364
366,The Rains Came,0,7.0,365
367,Major Barbara,0,7.0,366
368,Children in the Wind,0,7.3,367
369,Bringing Up Baby,2,8.0,368
370,Mother Carey's Chickens,0,6.4,369
371,The Rage of Paris,1,7.2,370
372,La fin du jour,2,7.9,371
373,Gunga Din,2,7.6,372
374,Le Jour se Leve,0,7.8,373
375,Fantasia,7,7.8,374
376,Foreign Correspondent,7,7.6,375
377,Our Town,8,6.8,376
378,Citizen Kane,9,8.4,377
379,Drums,0,6.6,378
380,The Baker's Wife,2,7.6,379
381,Jezebel,5,7.6,380
382,Confessions of a Nazi Spy,2,6.8,381
383,On His Own,1,6.9,382
384,The Wizard of Oz,9,8.1,383
385,The Siege of the Alcazar,1,6.4,384
386,Dance Girl Dance,1,6.6,385
387,Harvest,2,7.5,386
388,Lenin in October,1,6.6,387
389,The Pearls of the Crown,1,7.1,388
390,Alexander Nevsky,2,7.7,389
391,The Childhood of Maxim Gorky,1,7.5,390
392,Three Comrades,3,7.5,391
393,Vivacious Lady,3,7.3,392
394,Of Mice and Men,5,7.8,393
395,Tevya,1,6.9,394
396,Rebecca,5,8.2,395
397,The Shop Around the Corner,1,8.1,396
398,The Lady Eve,3,8.0,397
399,Volga - Volga,1,7.0,398
400,The Prisoner of Zenda,3,7.8,399
401,Boys Town,3,7.3,400
402,You and Me,1,7.0,401
403,Goodbye Mr. Chips,3,7.7,402
404,A Man to Remember,1,7.1,403
405,Mr. Smith Goes to Washington,6,8.3,404
406,Night Train to Munich,3,7.3,405
407,Of Human Hearts,2,6.9,406
408,The Philadelphia Story,5,8.1,407
409,You Can't Take It With You,3,8.0,408
